Subject,Course Number,Course Name,Course Code,Workload %
"AMAS","311","Arab American Studies and the Humanities","AMAS311","10"
"AMAS","330","Camels, Kabobs, and Kahlil Gibran: Arab American Cultural Studies","AMAS330","7"
"AMAS","356","Law and Border","AMAS356","24"
"AMAS","378","Muslim and Arab Literatures","AMAS378","26"
"AMAS","384","Islamophobia","AMAS384","47"
"AMAS","389","Reading Course in Arab and Muslim American Studies","AMAS389","N/A"
"AMAS","390","Internship in Arab and Muslim American Studies","AMAS390","N/A"
"AMAS","405","Topics in Arab American Studies","AMAS405","N/A"
"AMAS","498","Seminar in Arab Amer","AMAS498","N/A"
"AMCULT","102","First Year Seminar in American Studies","AMCULT102","N/A"
"AMCULT","103","First Year Seminar in American Studies","AMCULT103","9"
"AMCULT","201","American Values","AMCULT201","8"
"AMCULT","202","Digital Culture","AMCULT202","8"
"AMCULT","203","Periods in American Culture","AMCULT203","N/A"
"AMCULT","204","Themes in American Culture","AMCULT204","15"
"AMCULT","205","American Cultures","AMCULT205","13"
"AMCULT","206","Themes in American Culture","AMCULT206","27"
"AMCULT","212","Motor Nation: Car Cultures, Race, and Gender","AMCULT212","5"
"AMCULT","213","Introduction to Latina/o Studies","AMCULT213","18"
"AMCULT","214","Introduction to Asian/Pacific American Studies","AMCULT214","11"
"AMCULT","215","Introduction to Arab-American Studies","AMCULT215","4"
"AMCULT","216","Introduction to American Muslims","AMCULT216","34"
"AMCULT","217","Introduction to Native American Studies","AMCULT217","15"
"AMCULT","221","Social Inequality","AMCULT221","8"
"AMCULT","222","Elementary Ojibwe I","AMCULT222","N/A"
"AMCULT","223","Elementary Ojibwe II","AMCULT223","N/A"
"AMCULT","224","Spanish for Heritage Language Learners","AMCULT224","40"
"AMCULT","225","Space, Story and the American Self","AMCULT225","N/A"
"AMCULT","227","Language and Animal Communication","AMCULT227","1"
"AMCULT","229","The Qur'an as Utopian Text","AMCULT229","N/A"
"AMCULT","230","Art and Life in 19th-Century America","AMCULT230","35"
"AMCULT","232","Introduction to Native American Literature","AMCULT232","12"
"AMCULT","234","Zen Masters, Dharma Bums, and Drag Queens: Buddhism in America","AMCULT234","N/A"
"AMCULT","235","From Harems to Terrorists:  Representing the Middle East in Hollywood Cinema","AMCULT235","N/A"
"AMCULT","238","Early American Cultural History","AMCULT238","N/A"
"AMCULT","240","Introduction to Women's and Gender Studies","AMCULT240","11"
"AMCULT","243","Latina Women in the U.S.","AMCULT243","14"
"AMCULT","244","Art of the American Century (1893-1968)","AMCULT244","49"
"AMCULT","248","Arab America: Art, Cultural Politics, and Activism","AMCULT248","N/A"
"AMCULT","255","Religion, Women, and Gender","AMCULT255","N/A"
"AMCULT","263","The American South","AMCULT263","14"
"AMCULT","270","Religion in America","AMCULT270","18"
"AMCULT","277","From Truman to Trump: Introduction to US-Korea Relations","AMCULT277","20"
"AMCULT","280","Italian Mafia","AMCULT280","6"
