Subject,Course Number,Course Name,Course Code,Workload %,Advisory Prerequisites,Enforced Prerequisites
"EHS","602","Essentials of Toxicology","EHS602","6","EHS 601","N/A"
"EHS","603","Occupational and Environmental Disease","EHS603","17","N/A","N/A"
"EHS","604","Integrated Approaches in Environmental Health","EHS604","42","Completion of approved internship, research or practical experience.","Graduate"
"EHS","608","Occupational and Environmental Epidemiology","EHS608","47","EPID 600 or 503; BIOSTAT 501 or equivalent","PUBHLTH500 or BIOSTAT521; (C->)"
"EHS","614","Water and Global Health","EHS614","N/A","N/A","N/A"
"EHS","616","Introduction to Toxicologic Pathology","EHS616","17","Research methods class as advanced master's level, 1 year of statistics or biostatistics","N/A"
"EHS","628","Interm Sem Toxicol","EHS628","N/A","Env. and Ind. Hlth. 627.","N/A"
"EHS","651","Occupational Health, Safety and Environmental Program Management","EHS651","3","N/A","N/A"
"EHS","652","Eval of Chem Hazard","EHS652","41","Previous or concurrent enrollment in a biostatistics course.","N/A"
"EHS","653","Environmental Sampling and Analysis Laboratory","EHS653","63","652&654 CONC.","EHS 652; (C- or better)"
"EHS","654","Control Of Occupational Hazardous Exposures","EHS654","73","G.STD.","Graduate"
"EHS","655","Human Exposure Analysis","EHS655","17","Meet SPH requirements for biostatistics and epidemiology","Graduate"
"EHS","658","Physical Hazards","EHS658","3","N/A","Graduate"
"EHS","660","Environmental Epigenetics and Public Health","EHS660","4","N/A","N/A"
"EHS","662","Methods in Nutritional Epidemiology","EHS662","N/A","N/A","PUBHLTH 500 or PUBHLTH 512 or EPID 600; C- or better"
